X,Y,Z,Label
-0.8,0.2,0.2,Feeding
-0.9,0.1,0.2,Feeding
-0.9,0,0.3,Feeding
-0.8,-0.1,0.4,Feeding
-1.1,-0.2,0.5,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0.1,0.2,Feeding
-0.8,0.1,0.3,Feeding
-0.8,0,0.3,Feeding
-0.8,0,0.3,Feeding
-0.8,0,0.3,Feeding
-0.8,0,0.3,Feeding
-0.8,0,0.3,Feeding
-0.8,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.8,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.8,0,0.3,Feeding
-0.8,0,0.3,Feeding
-0.8,0,0.3,Feeding
-0.8,0,0.3,Feeding
-0.8,0,0.3,Feeding
-0.8,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0.1,0.3,Feeding
-0.9,0.1,0.3,Feeding
-0.9,0,0.3,Feeding
-0.9,0.1,0.3,Feeding
-0.9,0.1,0.3,Feeding
-0.9,0.1,0.3,Feeding
-0.8,0.1,0.2,Feeding
-0.9,0,0.2,Feeding
-0.9,0,0.2,Feeding
-0.9,0,0.2,Feeding
-0.9,0,0.2,Feeding
-0.9,0,0.2,Feeding
-0.9,0,0.2,Feeding
-0.9,0,0.2,Feeding
-0.8,0.2,1.1,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
-0.8,0,0.4,Feeding
0,-1.9,0.5,Feeding
-0.8,-0.2,0.5,Feeding
-0.8,-0.2,0.5,Feeding
-0.7,-0.2,0.5,Feeding
-0.8,-0.2,0.5,Feeding
-0.8,-0.2,0.5,Feeding
-0.8,-0.2,0.5,Feeding
-0.8,-0.2,0.5,Feeding
-0.8,-0.2,0.5,Feeding
-0.8,-0.2,0.5,Feeding
-0.8,-0.2,0.5,Feeding
-0.8,-0.2,0.5,Feeding
-0.8,-0.2,0.5,Feeding
-0.8,-0.1,0.5,Feeding
-0.8,-0.1,0.5,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
-0.8,-0.1,0.4,Feeding
